bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
10,1,3.33,1,6.67,183.33
2,1,1,0.6,2.4,70
12,1,7,0.6,5,96
5.45,0.91,2.73,0.91,4.55,36.36
2,2,1,2,4,60
1,1,3,0.6,6,80
180,1,1,2,8,112.63
100,10,8.33,5,13.33,289.47
0.71,2.86,1.43,0.43,2.86,51.43
0.5,0.33,3.33,0.67,6,30
126.67,1.67,10,10,10,13.33
1.17,3.33,5,0.83,10,125
7.5,7.5,6.25,6.25,8.75,175
3,1.2,2.4,1.2,4,44
2.5,1.67,4.17,1.67,6.67,70
1.25,1.75,1.25,1.25,12.5,50
50,0.5,1.67,0.83,4.17,16.67
10,6.67,3.33,6.67,10,200
2.5,0.67,2,0.83,2.5,70
8.33,4.17,3.33,3.33,5,113.33
1.67,1.67,4.17,2.5,8.33,116.67
8.33,0.83,3.33,1,3.33,41.67
3,2,2,1,4,140
2,2.4,6,5,6,120
71.43,14.29,2.86,1.43,5.71,1.43
20,3.75,3.75,2.5,7.5,87.5
10,6,6,4,6,220
120,14,4,2,10,80
266.67,3.33,5,1.67,10,6.67
0.75,1,2.5,2.5,5,37.5
2.29,1.88,1.25,1.25,7.5,87.5
1.67,0.5,3.33,0.5,5,83.33
2.5,0.88,2.5,1,4.5,75
83.33,0.77,3.33,1.67,5,2.08
91.67,3.33,3.33,5,4.17,1.67
1,2,6,1,12,140
6,0.6,1,2.4,2,80
125,3.75,6.25,3.75,7.5,218.42
137.5,12.5,5,3.38,12.5,60
4,3,4,4,8,70
1.25,4.7,5,2.5,10,125
1.11,0.44,1.11,0.56,1.11,44.44
1,1.2,2,1,4,144
6,1,3,0.6,4,110
3.33,1.33,1.11,1.67,3.33,66.67
166.67,8.33,2.5,3.33,6.67,27.5
20,0.8,3,2,5,100
300,5,2.5,5,15,217.9
0.38,0.5,0.5,1.5,4.5,75
1.67,3.67,5,5,13.33,133.33
1,0.4,1.2,0.4,2,20
1.25,0.5,1.25,1.25,3.75,97.5
1.5,1.25,2.5,3,6,125
8.33,2.67,3.33,5,8.33,200
60,1,1,1,2,34.21
3.75,2.5,3.75,7.5,3.75,100
45,0.8,2.4,3,1.6,71.33
6,2,2,2,8,70
4.17,0.67,0.83,0.83,4.17,63.33
200,6.67,10,5,11.67,314.81
5,5,5,3.75,6.25,137.5
0.75,0.5,0.75,0.63,1.5,25
4,3,4,4,10,100
2.5,1.25,6.25,1.75,5,105
225,10,6.25,5,12.5,116.67
125,1.25,5,1.25,6.25,269.17
2.5,0.33,2.5,0.5,4.17,66.67
12.5,7.5,4,2.5,18,335
7.5,2.5,3.75,7.5,3.75,135
2.73,1.5,1.5,2,5,90
3.33,1.11,2.22,1.11,2.22,44.44
2.96,3.75,5,5,6.25,187.5
2.5,2,5,1.5,2.5,185
5,1.17,2.5,4.17,6.67,133.33
8,3,4,3,6,140
2.5,1.67,5,0.83,10,96.67
0.8,2,2,1.6,8,80
200,1.06,3.33,1.67,6.67,86.11
1,3.44,4,3,6,130
5,1.31,6,2.5,7,158.75
80,0.6,4,0.6,5,112.2
3.75,3.75,2.5,2.5,15,150
120,1,4,1,6,8
7.5,5,5,2.5,15,100
2.14,3.57,3.57,3.57,4.29,102.86
160,3,6,4,7,83.16
5,2.5,3.33,5,8.33,83.33
1.25,2.7,4.5,3.75,8.75,125
2,2,3,3,5,200
75,0.75,2.5,1.25,6.25,25
0.25,0.75,2.5,0.5,7.5,37.5
2,4.7,4,3,7,120
40,2,3,2,2,144.12
1,1,0.6,0.6,3,36
60,4,6,4,6,120
2,3.33,2.5,0.83,1.67,63.33
2.5,1.67,1.17,1.67,5,50
1,1.25,1.25,0.75,2.5,87.5
5,1.25,2.5,1.25,5,135
150,1.25,1.25,2.5,12.5,50
75,2.5,2.5,8.75,15,37.5
2.27,2.27,1.36,0.45,3.64,86.36
2.86,0.71,1.43,1,2.86,100
55.71,1.43,5.71,4.29,7.14,56.43
0.5,0.83,0.83,0.5,0.83,16.67
360,10,5,10,3.5,110
1.2,3,4,1.2,12,150
3.75,7.3,7.5,7.5,15,150
1.88,0.5,0.75,1.5,1.25,45
2,2,2.4,2,3,50
275,10,10,15,12.5,5
5,2,0.83,1.17,2.5,60.83
10,2,2,3,1.6,60
7.5,2.5,6,4,11,135
5,7.5,2.5,3.75,12.5,180
4.29,0.86,2.86,1,4.29,77.14
4,2,5,2,10,133.33
5,2.5,5,1.25,7.5,90
1.25,1.5,1.5,1,2.5,212.5
3.33,8.33,5,1.67,10,166.67
1.67,2.5,4.17,1.67,1.67,3.33
140,6,7.2,2,5.6,70
17.5,7.5,10,3,12.5,180
116.67,2.78,4,5,8.33,195.56
2.5,2.5,3,2.5,5,55
5,2,3,5,7,216
3.33,1.67,2.5,1.17,4.17,166.67
10,14,3,1,5,120
250,12.5,7.5,6.25,10,85.26
225,5,3.75,2.5,10,111.84
1.11,0.56,2.22,2.22,2.78,14.44
0.86,1.43,2.86,0.57,7.14,57.14
5,1.33,3.33,1.67,6.67,240
200,11.11,1.67,3.33,7.22,35.19
1,1.2,1,0.8,2,130
3,0.8,1.6,1.2,2,100
3,1.4,2.6,2,4,100
1.25,1.25,6.25,2,10,187.5
5,2,7.5,3.75,7.5,62.5
2.5,2.5,3.33,3.33,5.83,83.33
10,5,7.5,5,12.5,225
7.5,7.5,3.75,2.5,7.5,175
1.43,2.14,2.86,0.71,10,107.14
4,0.6,0.8,3,3,34
5,2.5,5,2.5,7.5,150
5,1,7.5,1.5,10,250
0.83,0.33,0.67,1.67,1.67,33.33
0.33,0.5,0.67,0.5,0.83,26.67
16.67,5,1,3,6.67,120
5,2.5,5,5,6,50
2.14,1.57,2.14,2.14,3.57,107.14
70,0.4,3,0.4,5,112.6
300,2.2,5,10,20,208.5
150,180,5,15,15,25
12,10,0.6,2.6,4,120
150,5,5,10,12.5,237.5
5,5,6,1,8.75,137.5
200,7.5,7,2.5,11.25,133.75
75,3.75,1.25,2.5,3.75,145.83
133.33,3.33,3,8.33,10,70.37
1.67,1.67,2.5,1.67,1.67,60
85.71,0.43,2.14,1.43,14.29,109.29
7.5,1.25,2.5,1.25,7.5,75
3.33,1.67,1.33,2.5,4.17,125
2.86,2.14,1.71,1.43,5.71,100
10,2.4,3,4,5,196
50,1.77,0.83,6.67,5,60
1.67,1.67,2.67,1.33,5,60
1.25,0.63,1.88,1.25,6.25,68.75
1,2.4,2.4,1,10,70
0.6,0.8,0.6,0.4,1,32
85.71,2.86,1.43,0.86,3.57,67
100,0.83,2.5,0.83,3.33,100
6.67,5,3.33,1.67,15,60
95,10,2.5,2.5,18.75,63.33
10,2.5,2.5,7.5,12.5,125
10,1,0.6,0.8,5,100
100,2.67,3.33,1.33,33.33,3.33
3,2,1.4,2,4,56
1,0.83,2.5,1.5,5,50
100,3,2,2,6,37.47
0.57,0.71,0.57,0.57,1.14,71.43
6,3,3,1.2,3,130
2.5,0.75,1.75,1.25,3.75,180
1.17,0.83,1.67,0.83,2.5,50
100,0.83,3.33,0.83,3.33,70.83
150,7.5,2.5,2.5,12.5,211.84
3.33,3.33,6.67,3.33,8.33,123.33
2.5,4.63,6.25,2.5,10,125
8.33,3.33,1.67,1.67,6.67,66.67
26.67,0.5,0.83,0.83,0.5,34.45
4,4.67,4,3.33,11.67,183.33
100,5,5,2.33,6.67,102.98
1.25,3.75,3.75,2.5,5,9
1.25,0.5,1.25,0.25,1.5,37.5
3.33,5,2.67,2.5,8.33,100
3.75,1.25,3.75,1.25,5,125
2,1.6,2,2,6,50
225,6.25,2.5,2.5,11.25,109.87
2.3,1,2.4,2,5,80
1.6,4,6,1.2,12,150
35,1.25,1.25,0.5,2.5,50
3.33,1,1,1.67,8.33,100
70,3,2,7,10,2
112.5,7.5,6,6.25,9,45
4,0.6,1,1,4,140
3,0.6,4,1,12,120
4,2,1,5,6,120
300,10,17.5,10,20,215.79
150,1.7,2.5,5,7.5,118.5
3.33,1.67,3.33,1.67,8.33,133.33
4.38,0.25,1.88,0.63,1.88,45
2,3,4,3,3,40
64.29,0.71,2.86,2.57,2.29,0.71
1.67,1.67,3.33,2.5,6.67,100
62.5,1.25,2.5,1.25,3.75,2.5
3.75,1.25,1.25,1.25,2.5,100
1,1.28,3,2,7,80
24,3,3,1,5,60
200,12.5,5,7.5,25,115
6.25,7.5,3.75,1.5,7.5,175
120,10,4,6,8,49
1.17,1.5,2.83,2.5,6.67,121.67
0.71,0.29,1.43,0.29,2.14,14.29
140,4,6,4,8,107.37
3.75,5,2.5,3.75,6.25,137.5
5,2.5,8,5,10,75
5,2.5,2.5,1.25,3.75,100
1.43,0.71,2.14,0.71,2.14,50
6.67,2,3.33,6,6.67,216.67
85.71,1.35,1.43,1.43,7.14,94.6
125,10,5,5,10,111.88
80,0.6,3,0.6,4,112.4
0.75,3.13,2.5,1.25,3.75,87.5
5,2.5,4,4,12.5,108
2.4,0.6,0.6,1,2,70
25,2.5,3.75,1.5,12.5,250
1.43,1.14,1.71,1,2.86,85.71
4,4,3,4,12,160
1.25,1.25,1.5,1.25,2.5,137.5
250,7.5,10,15,25,294
0.5,0.5,1.25,0.5,2.5,45
275,7.5,5,12.5,6.5,2.5
11.67,8.33,3.33,6.67,6.67,166.67
125,2.5,2.5,2,7.5,72.9
7.5,2,2,3.75,7.5,65
1.25,2.75,6.25,5,11.25,175
1.25,1.25,1.5,2.5,3.75,56.25
8.33,1.67,2.5,1,5,83.33
2.5,1.25,1.25,2.5,3.75,37.5
2.43,0.33,2.17,0.83,8.17,25
10,3.75,4.25,2.5,7.5,112.5
4,1,5,1.4,4,118
5,7.5,2.5,1,5,120
1,2,3,2,6,80
45,1.75,1,1.5,1.25,2.5
10,2,2,1.2,5,73
1.67,3.95,4.17,2.5,10,108.33
1.67,0.5,1,0.33,1.67,33.33
120,1.28,4,2,8,2
57.14,2.86,1,1,2.86,70
1,0.6,0.4,0.4,2,30
60,0.4,3,1,5,2
2.33,3.33,6.67,1.67,16.67,116.67
1.25,1.25,1.25,1.5,6.25,90
2.5,4.17,1.67,0.83,4.17,70
1.25,0.63,1.25,0.38,2.5,43.75
225,6.25,3.75,3,7.5,207.9
180,1.96,2,2,10,81.2
125,0.75,3.75,0.5,6.25,52.08
1.25,2.13,0.5,1.25,2.5,150
0.45,0.55,0.45,0.27,0.73,45.45
0.71,0.86,3.57,1.29,5,77.14
7.14,1,2.14,0.86,4.29,78.57
2.4,0.6,3.2,3,4,76
185.71,4.29,5.71,5.71,7.14,117.29
5,5,2.5,5,10,275
5,1,4,1,7.5,150
1.25,1.5,3,2,5,62.5
2,3.2,5,3,9,130
0.6,0.8,0.8,0.6,1.2,66
5,4,2,3,6,90
35.83,1.67,2.5,0.83,1.67,21.67
20,1.5,7.5,2.5,7.5,500
45,1.67,1,0.42,2.5,43.17
20,5,2.5,10,15,200
150,2.5,3.75,1.25,3.75,10
1.67,1,1,2,4,100
25,10,13,10,15,400
5,3.75,3.75,5,10,87.5
100,4.17,3.33,2.5,5,115.2
27.5,0.75,0.75,1,0.75,90
3.33,1.17,2,0.83,3.33,66.67
1.67,1.67,4,4,8.33,250
35,1,1,6,5,93.33
3.33,1.67,1.33,2,4.17,91.67
2,10,2.4,3,2,30
100,0.75,3.75,0.5,6.25,141
150,2.5,2.5,1.17,4.17,123.69
1.67,0.5,0.83,1,3.33,83.33
1.43,14.29,5.71,2.86,3.57,178.57
2.67,8.33,6.67,6.67,13.33,180
13.33,1.67,5,2.67,11.67,233.33
257.14,3.57,0.71,2.86,4.29,75.71
2.5,1,1.25,1.25,6.25,93.75
5,1.2,4.8,1.2,8,90
0.71,1.14,1.71,3.43,4.29,71.43
4.29,2.86,2.86,1.43,2.14,77.14
0.71,2.43,0.86,0.43,0.86,52.86
1.6,10,4,4,8,150
5,1.5,2.67,1,8.33,100
5,1.67,5,3.33,10,166.67
1,2,1.6,1.4,4,30
1.67,1,1,2,3.33,40
2,1,1,2,4,70
100,1,4,1,5,75
2.38,2.14,1.43,1.43,2.29,85.71
1,2.5,2.5,1.25,3.75,25
1.43,2.86,2.86,0.71,5.71,85.71
140,14,2.4,2,5,47.78
120,1,2,2,20,20.8
85.71,2.86,3.57,2.86,4.29,50.53
0.83,0.33,2.5,2.5,5,73.33
1,2,3,5,10,72
1.25,2.81,3,1.25,10,46.25
1,0.75,2.5,0.5,7.5,50
7.5,1.5,2.5,5,10,150
100,2,1.2,3,2.4,175.56
0.75,0.75,0.75,0.5,1.5,42.5
8.33,4.17,2.5,4.17,3.33,116.67
5,0.83,0.83,1.67,5,100
6.67,0.5,1.67,0.83,0.83,16.67
4,3,4,2,6,140
175,7.5,7.5,5,12.5,225
3.17,2,2.4,1.2,4,60
45,1.25,1.25,0.63,3.75,53.95
0.71,2.86,2.14,2.14,7.14,71.43
114.29,7.14,2.14,0.57,7.14,47.62
1.25,3.98,5,3.75,10,175
3.75,1.5,2.5,3.75,5,112.5
7.5,5,3.75,2.5,7.5,175
200,8.33,3.33,2.5,10,100
1.67,3.33,0.83,0.5,1.67,50
8.4,1.4,1.8,1.8,8,90
3.33,0.83,2.5,0.83,5,70
0.83,2.43,4.17,1.67,5,116.67
6.25,3.75,5,3.75,7.5,175
1.25,3.95,5,2.5,10,137.5
1.25,4.55,6.25,2.5,11.25,137.5
0.91,1.82,0.55,0.91,0.91,51.82
0.67,1,1.67,1.33,5,50
110,0.6,2,3,5,0.6
0.83,3.3,2.5,1.67,6.67,50
6.67,5,3.33,1.67,5,166.67
5,3.33,3.33,3.33,8.33,245
83.33,1.67,2.5,0.83,3.33,60
10,3.33,15,10,23.33,206.67
3.75,5,5,3.75,10,137.5
3,2,5,1,10,140
1,3.04,3,3,8,100
6.25,3.75,3.75,3,11.25,125
3.57,2.14,2.14,0.71,2.86,92.86
8.33,5,4.17,1.67,4.17,120
41.67,1.67,1.67,16.67,16.67,233.33
2.19,1.5,1.25,2.5,3,32.5
10,2,5,2,8,144
72,0.6,2,2,10,140
5,4.17,3.33,4.17,10,116.67
0.83,0.83,1.67,0.83,4.17,60
4.17,2.5,2.5,0.83,5.83,60
3.33,10,8.33,8.33,11.67,180
300,7.5,12.5,10,15,300
8.33,1.67,1.67,1.67,4.17,60
2,3,5,3,5.4,140
8.33,3.33,8.33,3.33,10,121.67
0.83,0.33,1.67,0.5,3.33,60
30,5,5,5,25,190
4,1.67,5.83,3.33,6.67,83.33
10,12,3,1,4,120
3,2.6,2.4,1.6,5,73
7.5,5,12.5,12.5,10,87.5
2,2,2,1,3,72
3.75,1.25,3.75,1.25,5,100
0.67,1,0.83,0.83,2,141.67
0.83,0.83,5.83,3.33,13.33,83.33
12.5,3.75,7.5,5,15,137.5
100,1.85,1.33,3.33,1,127.78
100,3.33,3.33,0.83,5.83,111.33
100,3.75,10,7.5,15,123.75
1.25,1,1.25,1,3.75,175
3.33,2,2,2.4,6,70
1.25,1.88,1.25,1.25,1.88,45
3,0.8,2,0.8,4,100
4,3,3,0.8,6,90
30,3,0.5,1.3,1.5,38
2.5,0.75,2.5,1,5,112.5
2.14,0.43,0.71,0.43,0.86,85.71
80,3,4,2,6,68.84
1.67,0.67,2.67,0.83,5,63.33
5,8.33,1,2.5,3.33,41.67
100,0.67,3.33,0.67,5,175
7.67,3.5,5,3,15,180
7.5,4,5,10,15,200
61.67,0.83,0.33,4.17,2.5,69.72
0.71,0.97,2.86,2.14,5.71,100
1.43,2.14,2.86,1.14,5.71,75.71
1.67,0.5,3.33,0.83,10,63.33
133.33,6.67,5,1.67,6.67,60
100,1.67,1.67,0.83,6.67,56.37
67.5,1.5,1.25,5,7.5,50
3.33,0.83,5,3.33,6.67,66.67
7.14,1.43,1.43,1.43,7.14,100
68.75,2.5,1,0.38,2.5,69.8
2,1.2,1,0.8,6,94
4,2,4,2,6,60
5,6,4,6,6,150
3.75,0.5,1.5,2.5,15,200
4.29,2.14,0.29,0.86,2.86,35.71
300,10,5,10,10,285.5
2,1,3,0.4,4,50
120,1,2,2.4,20,80.2
58.33,0.83,2.5,0.33,4.17,33.33
0.4,0.6,1,3,2.8,40
160,1.44,2,2,10,63.43
76,1,2,2,3.6,53.6
125,7.5,8.75,5,12.5,214.47
7.5,2.5,2.5,2.5,12.5,180
2.5,6,6,5,12,150
2.27,1.36,0.91,0.91,2.27,36.36
150,6.25,5,1.25,8.75,171
150,0.5,7.5,2.5,7.5,2.5
2.5,1.25,5,3.75,8.75,112.5
3.33,1.67,1.67,1.67,5,95
2.5,2.5,6.25,3.75,10,150
1.25,1.5,1.25,1.25,2.5,137.5
2.14,1.43,2.14,0.43,2.14,50
2.14,0.71,2.14,2.14,3.57,71.43
3,4,2,2,7,150
2.5,1.13,3,3,3.75,95
16.67,3.33,3.33,1.67,6.33,53.33
10,5,5,2.5,10,125
4.17,3.33,1.67,3.33,8.33,150
7.5,1.5,5,5,12.5,150
3.33,1.67,2.5,1.33,5,120
5.83,1.67,3.33,1.67,5,91.67
4,2,2,1.2,7,140
2.5,3,2.5,2.5,5,350
12.5,1,1.5,5,20,200
3.75,1.25,3.75,3.75,7.5,112.5
1.67,0.67,1,2.5,1.67,50
6.25,3.75,2.5,3.75,25,87.5
4,2,1.6,0.6,5,72
3,4,2.4,3,8,100
7.14,8.57,2.14,1.43,4.29,114.29
83.33,5,6.67,4.17,6.67,142.11
31.25,1.11,0.63,0.63,1.88,78.06
1,2.8,5,4,10,140
1.25,1.25,1,2,3.75,62.5
120,1,1,1,5,73.53
0.33,1.17,1.33,2,5,58.33
3,2,5,4,5,150
10,1.67,3.33,1.67,6.67,100
1.67,1.67,1.11,2.22,7.78,40
100,3.33,1.67,3.33,16.67,33.33
0.86,1.43,0.57,1.14,2.57,32.86
1.5,1.5,2,1,3.5,175
37.5,0.38,1.25,0.38,2.5,14.06
100,3.75,5,2.5,7.5,120.66
7.5,3.75,4,1.25,7,75
1.88,3.75,7,3.75,10,125
0.83,1,1.67,2.5,1.67,33.33
12.5,1,2.5,2.5,5,90
2.5,1,3.75,6.25,3.75,120
1.43,0.71,0.71,1.43,3.57,42.86
20,1,1.5,8,15,150
80,0.4,1,0.6,3,36
2.14,0.57,0.57,0.29,3.57,71.43
7.5,5,3,5,20,175
1.67,2.5,2.5,2.5,4.17,91.67
1.67,7.33,10,5.67,16.67,366.67
0.43,0.57,0.86,0.71,1,26.43
3.33,25,3.33,1.67,10,125
6,2,3,1,6,220
2.86,2.86,4.29,1.43,5.71,107.14
125,5,6.25,7.5,8.75,122.37
5,11.2,10,7.5,20,300
3,4,4,1,12,180
50,1.2,2,0.6,5,69.33
2.5,1,3.75,1.25,5,100
1,1.2,2.8,2.4,2,13.2
2.5,3.75,5,2,7.5,200
0.33,0.5,1,0.33,3.33,20
83.33,5,5,3.33,5,128.95
7.5,12.5,7.5,2.5,7.5,225
3,1,2,1,2,60
6,6,4,4,6,372
4,5,2.4,4,6,80
3.33,1.67,2,0.83,3.33,83.33
1.67,0.83,1,2.5,2.5,25
39.29,0.36,1.07,0.36,1.43,33.57
1.25,1.25,2.5,2.5,5,93.75
1.43,1.43,1.71,0.57,7.14,71.43
125,7.5,5,6.25,10,150
5,5,8.33,3.33,10,116.67
3.57,1.43,4.29,1.43,4.29,71.43
74,1.2,2.4,5,2,0.4
2.5,2.5,7.5,2.5,12.5,250
1.67,3,4,0.67,6,60
0.71,0.71,1.14,0.57,2.14,35.71
7.19,2.5,7.5,2,7.5,200
7.5,5,5,3.5,7.5,185
66.67,2.5,3.33,2.5,5,70.18
66.67,1.67,1,2.33,8.33,62.22
2.86,0.39,0.43,0.39,0.36,8.57
3,2,3,2,6,76
150,5,2.5,1.25,6.25,209.21
1.67,1.67,2,2.33,6.67,100
1.67,2.5,1.67,4.17,3.33,33.33
187.5,5,8.75,5,25,38.38
1.67,1.67,2.5,0.83,3.33,60
3,1,2,1,2,22
101.67,2,4.17,1.67,5,3.33
8,2,6,6,6,50
120,1,1,4,16,130
58.33,0.5,2.5,0.33,3.33,94.83
3.75,0.63,2.5,1.25,3.13,112.5
2,1,3,2,8,110
80,4,5,3,6,65.26
1.27,3.33,3,3.33,4,93.33
2.5,2.5,5,1,6.67,91.67
137.5,5,2.5,5,2.5,107.5
75,2.5,6.25,3,7.5,149.17
2.33,2,3.33,2.67,5,50
15,1.67,3.33,0.83,3.33,110
1,2.5,4,1,5,100
5,2,1,2,10,120
5,5,5,7.5,15,200
1,1.57,2.57,1.43,3.57,52.57
2,2,2,1.2,6,80
0.83,0.67,1,0.5,1.67,58.33
100,1.33,5,8.33,8.33,116.67
5.71,1.43,2.14,4.29,5.71,100
3.57,1.43,2.14,2.86,4.29,42.86
2,0.6,2,1.6,3,90
1,1.2,1.2,1,2.6,170
3,3,2,2,4,36
3.33,0.83,5,0.67,10,66.67
160,3,6,3,8,65.26
3.33,2.02,2.83,1,3.67,76.67
3.75,2.5,1.5,2.5,7.5,112.5
0.29,0.43,0.43,0.29,0.71,25.71
1,1,3,2,6,60
1.33,0.67,6,4,8.33,113.33
0.5,0.83,0.33,0.5,3.33,60
100,4,5,3,8,161.05
0.83,1,0.83,0.33,1.67,58.33
1.67,7.33,5,5,15,216.67
50,1.25,0.83,0.83,3.33,77.19
6.8,0.8,0.6,0.6,4,80
1.67,1,2.5,0.67,8.33,60
5.83,0.5,3,3,4.17,45
2,0.5,1,0.8,4,72
150,1.72,7.5,1.25,10,136.11
5,2.5,2.5,3.75,12.5,187.5
2.5,1.25,2.5,3.75,10,75
10,2,2,1,2,100
2,3,3,3,6,168
6.25,0.5,1.25,1.25,3.75,87.5
5,1,3,2,4,110
3.33,2.5,2.5,1.67,5,116.67
1.88,2.5,1.25,1.25,3.75,30
1.67,3.33,3.33,5,10,106.67
0.4,1,2,0.6,6,36
2.5,0.83,1.67,0.83,5,60
1.25,1,1.5,0.75,2.5,90
1.25,0.75,4.5,1.5,6.25,105
85,1,3,2,2.5,0.5
4,4,2,6,10,140
3.13,1.88,1.88,1.25,3.75,87.5
66.67,1.02,0.83,1.67,1.67,50
75,2.5,1.75,6.25,5,163.89
10,3,1.2,1,4,90
3.61,0.33,0.83,0.83,0.83,16.67
7.14,2.86,1.71,2.43,4.29,78.57
1.43,1.43,2.14,0.71,4.29,71.43
3.33,2.5,1.67,1.33,5,116.67
6,4,3,4,14,144
25,1.25,2.5,1.25,3.75,101.32
4,3,2,1.2,7,110
1.25,1.25,2.5,2.5,4.38,88.75
22,0.6,3,0.6,3,60
58.33,0.5,1.67,0.83,3.33,97.22
183.33,2.5,2.5,4.17,25,19.17
2.36,1.67,0.83,2.5,0.83,100
2.39,1.88,5,1.25,7.5,137.5
3,0.6,2,1.4,3,114
2,2.4,3,2,6,90
44.44,2.22,2.22,0.56,5.56,3.33
58.33,1.5,1.67,3.33,3.33,116.67
4.17,3.33,1.67,1,5.83,100
3.33,2.5,5,1.67,10,183.33
2.86,7.14,1.86,0.29,1.43,71.43
7.5,0.75,10,6.25,15,137.5
71.43,1.07,1.43,1.43,1.14,100
0.71,0.29,0.71,0.71,3.57,64.29
2.5,0.38,1.88,0.38,3.13,47.5
4,0.8,3,1,5,120
2.5,0.75,3.75,1.25,2.5,125
1.67,0.83,1.33,1.67,3.33,66.67
1.4,1.67,4.17,2,2.67,91.67
2.5,3,15,1.5,20,190
0.6,1.4,2,2,4,48
0.75,0.75,0.75,0.5,1.25,40
1.67,3.33,3.33,3.33,4.17,163.33
3.57,0.71,0.71,4.29,2.86,35.71
2.5,12.5,3.75,0.75,5,250
6.67,1.33,3.33,1.67,6.67,150
1.33,0.83,1.17,1.67,2.5,33.33
1.43,1.43,4.29,0.71,5.71,80
12.5,1.5,2.5,0.75,7.5,100
150,6.25,7.5,5,8.75,121.05
3.75,2.5,2.5,1.5,7.5,90
0.43,0.71,1.71,1,2.57,28.57
2.5,0.5,4.17,2.5,5,66.67
30,2,3.2,4,10,240
5,1.2,2,0.6,3,72
140,4,3.4,6,2,30
80,1.67,1.6,5,5,66.86
0.14,0.29,0.43,0.29,1.43,21.43
10,0.86,2.86,3.57,2.86,81.43
2.5,1.67,4.17,3.33,8.33,150
1.25,1.5,5,1.25,8.75,150
5,1.67,3.33,1.67,5,91.67
3.33,1.67,1.33,0.83,2.67,50
2.14,2.86,2.14,2.86,7.14,142.86
4.29,1.43,2.86,4.29,5,100
4,3,6,4,14,300
2.8,3,2,0.8,1.4,60
0.8,1,0.8,0.8,1.4,72
0.6,1,0.2,1.5,2.8,72
250,2.5,2.5,3.33,10,14.67
1.25,0.5,3.75,0.75,6.25,100
60,4,5,3,6,95.79
5,2,4,3,6,100
6.25,2.5,1.25,0.38,3.75,62.5
41.67,0.83,0.67,0.33,1.67,88.67
120,2.5,5,1,11.67,3.33
5,2,3,2,6,100
2.5,1.67,1.67,1.67,5,83.33
75,3.75,5,5,10,117.11
8.33,8.33,3,1.67,10,141.67
8.75,4.17,5,2.5,6.67,141.67
375,10,12.5,12.5,15,150
300,7.5,12.5,15,17.5,300
44.36,0.4,2,0.4,3,34
1,2,1.5,0.5,2.5,90
1.67,1.67,2.5,3.33,2.5,58.33
100,5,1.67,2.5,5,82.22
12.5,0.83,0.67,1.83,0.83,16.67
149,4,1,10,10,4
2,0.4,2,0.6,4,40
7.5,2,2.5,5,10,150
100,7.86,1.43,1.43,5.71,27.14
7.14,0.71,2.86,1.43,5.71,57.14
1.11,0.56,1.67,1.67,2.78,111.11
200,1.45,3.75,2.5,10,122.22
1.67,1.67,1.33,1.67,2.67,233.33
2.33,2.67,3.33,3.33,6.67,116.67
1.56,0.75,2.5,1.5,3.13,31.25
50,0.33,2.5,0.5,4.17,25
5,3.75,3.75,2.5,6.25,137.5
3.33,1.33,1.67,3.33,5,100
1.13,1.13,2.63,1.5,5.25,75
1,5,1,1,6,70
5,2.5,2.5,2.5,3.75,100
1.2,3,3,4,12,100
125,2.5,5,8.75,12.5,97.5
30,1,0.3,0.4,4,46.67
58.33,3.33,5,3.33,5.83,76.32
68.33,1,1.67,0.67,3.33,33.33
3.75,1.5,3.25,3.25,3,90
12.5,5,7.5,5,7.5,225
60,1,2,0.6,4,12
0.56,2,2.78,1.67,4.44,66.67
7.14,3.57,2.86,4.29,8.57,128.57
1.67,0.83,2.17,1,5,75
0.75,1.25,1,0.25,3.75,70
120,2.78,4.8,1,6,128.89
6,0.8,2,0.8,3,90
6.67,1.67,2.67,1.67,8.33,150
1.67,1.67,2.5,0.83,3.33,60
0.5,0.75,1.25,2.25,1.25,37.5
3.33,2.67,3.33,1.67,5,116.67
2.36,0.91,0.45,0.27,1.82,27.27
100,1,3,1,1,52
4,2,3,2,7,144
35.71,3.57,4.29,2.86,5.71,50.38
6.25,2.5,3.13,1.25,3.75,97.5
200,5,5,3.33,10,128.07
100,1.83,3.33,3.33,16.67,16.67
200,2.5,3.75,2.5,10,2.5
1,0.8,2.4,1.4,3,60
3,2,3,1,4,200
1.43,1.43,1.43,2.14,2.86,67.86
25,30.17,2.17,1.67,3.33,6.67
1,1.2,2,1.4,4,78
12.5,2.5,5,1.5,10,175
100,1,4,1.67,5,6.67
0.71,0.71,1.14,1.14,2.86,54.29
120,3,2,1.6,5,62.11
3.33,3.33,5,1.67,5,66.67
1.67,0.83,2.33,1.67,4.17,126.67
6,1,6,1,16.67,125
0.5,1.67,1.67,0.5,6.67,66.67
107,3,0.6,1,3,34
6.67,5,5,3.33,6.67,75
2,0.6,1.6,1,3,74.4
0.4,0.2,0.4,0.2,0.6,40
60,1,1,0.8,4,109.05
6.25,1.88,2.5,1.25,3.13,45
4,10,2,2,12,220
120,1,1,1,5,70.74
4.29,2.86,5.71,3.57,6.43,78.57
85.71,1.71,0.86,1.43,0.86,41.43
3,0.8,3,1.2,4,80
3,0.7,1,1,5,60
