bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
0.75,0.5,0.75,1.25,5,23.75
7.5,4,5,2.5,15,270
1.59,1.5,2,2.5,4.5,50
1.25,1.25,2.5,2.5,5,167.5
2.5,1.25,5,1.25,10,175
133.33,3.33,3.33,5,20,111.11
3.33,0.5,1.67,0.67,3.33,70
2.5,10,2.5,5,5,100
9.17,3.33,6,2,5.33,116.67
25,10,12,8,6,180
2,1,2,2,16,100
87.5,0.5,1.5,2,3,4.38
7.5,2.5,4.25,1.75,7.5,100
3,4,4,1,6,180
2.5,5,10,10,20,325
150,0.78,1.67,2.67,5,3.33
450,2.5,18,5,20,8.22
5,1.67,1.67,1.67,8.33,233.33
116.67,1,6.67,3.33,16.67,122.22
5,1,3.75,2.5,6.25,162.5
4.17,0.83,10,2.5,16.67,91.67
112.5,1.75,1.5,1,3.75,153.5
6,6,3.6,0.6,6,110
1.67,2.41,2.5,0.83,4.17,55
1.67,0.83,1,2.5,4.17,58.33
2.92,0.33,0.83,0.5,2.5,20
240,4,2,2,14,88.29
83.33,2.17,4,1.67,5,140
109,1.6,4.8,4,4,48.67
50,30,18,25,12.5,125
250,11.3,5,5,5,360
71.67,0.67,2.67,3.33,3.33,42.33
5,3.59,5,3.33,9.33,120
5,17.5,7.5,9,15,460
80,3.4,2.4,2,4,41.5
133.33,3.33,3.33,2,6,135.5
0.5,0.17,0.83,0.5,1.17,33.33
200,1.5,3.5,5,6,7.5
6,3,4,2,4,100
3.33,2.5,1.67,1.67,5,58.33
90,2.4,1.2,0.6,3.6,113.76
75,5,5,5,10,50
6.67,4.17,5,1.67,6.67,166.67
120,1.13,4,4,8,3.75
3,4,5,4,25,186
200,1.25,2,6.25,3.75,1.25
5,6.71,7.5,2.5,9,125
1.3,0.6,3,1.2,5,60
2.5,1.25,3.75,1.25,5,100
120,2,2,2,10,46.67
5,1.67,2.5,5,6.67,91.67
4,0.6,2,1,3,70
5,2.5,2.5,1.5,10,180
1.67,0.67,1.67,1.33,2,40
1.67,0.5,2.5,2.5,5,61.67
6.67,2,2,2,15,180
10,4,10,15,12,230
5,5,3.75,5,10,162.5
8.33,2.09,9.33,3.33,10,210
2.86,0.71,3.57,1.43,7.14,77.14
1,1.4,0.8,0.8,3.4,82
91.67,3.33,1.67,1.67,5,148.79
1.45,1.6,4,3,6,50
5,1.5,8.75,2.5,10,190
3.75,2.5,3.75,2.5,5,75
13.33,5,10,5,13.33,166.67
1,1.67,1.67,2,3.33,60
200,7,1,1.4,7,54.22
140,5,7,4,6,114.71
7.5,2.5,7.5,5,12.5,275
5,1.5,4,1,7.5,180
2.5,0.75,1.25,3.75,6.25,87.5
2,4,6,2,10,120
6.67,5,8.33,5,10,133.33
25,50,5,4,15,550
13.33,3.33,5,2,10,120
2.5,3.49,3.75,1.25,4.5,62.5
40,3.09,2,4,2,135
0.67,0.67,4,1.67,13.33,100
3.75,6.25,7.5,3.75,11.25,167.5
100,0.75,3.75,1.25,6.25,75
5,4,8,3,10,120
31,4,1,1,6,120
5,1.25,5,1.25,5.5,100
200,8.33,13.33,13.33,16.67,204
1,1.5,4,1,15,55
0.4,2.47,2.4,0.6,2,36
5,2,3,2,5,130
6,3,3,2,7,73
5,3,3.6,2,4.8,116
150,1.25,1.25,3.75,12.5,31.75
100,5.67,5,1,3.33,163.33
80,0.6,3,1,3,4
60,0.4,1,1.2,2,1
5,2.5,5,5,7.5,90
1.43,1,0.57,0.71,2.86,52.14
100,1.58,4.17,8.33,5,98.33
75,1,2.17,3.33,15,42.08
120,1.47,3,0.6,4,2
2,3,3,2.5,7.5,12.5
1,1.88,1.25,1.25,6.25,67.5
2,2.5,12.5,2.5,15,265
1.25,3.73,4.5,3.75,8.75,125
2.5,6.23,7.5,2.5,7.5,140
75,1.25,3,2.5,3.75,1.25
3,4.25,10,5,12.5,157.5
3,1,4,1,6,100
1,1,1.6,1.2,4,100
4,0.4,1,1,2,40
7.5,1.25,1.5,1.5,7.5,250
4,1.33,3.33,5,8.33,200
12.5,2.5,3.75,1.25,8.75,92.5
5,6.25,1.5,2,6,140
75,1,2.5,0.75,5,125
42.86,0.29,1.43,0.43,1.71,1.43
20,8,7.5,4,15,150
150,1.5,2.5,3.75,12.5,7.5
15,7.5,8,2.5,14,180
1.67,1,2.17,3.33,6.67,150
66.67,3.33,3.33,3.33,10,33.33
140,0.5,5.6,3,4.4,2.4
0.6,2,1,5,5,112
100,2.83,2,3.67,4,48.67
2,3,2.4,2,5,40
4,0.6,1,2,4,70
150,2.5,5,2.5,15,360.53
1.25,1.25,1.5,0.5,2.5,37.5
187.5,0.67,1.67,0.33,3.33,50
0.75,1,3,0.75,2.5,112.5
71.67,1.5,6.25,1.75,7.5,212.5
1,1,6,7.5,10,180
2.86,2.14,2.14,0.86,4.29,64.29
16.67,3.33,6,2.33,11.67,216.67
120,0.2,2,4,20,92.43
5,3.84,7,4,8,104
3.75,1.75,7.5,5,10,185
3.33,3.33,3.33,1.67,10,133.33
6,4,4,1,4,60
3.75,1.25,3,2,10,137.5
75,2.5,5,2.5,6.25,101.32
3.75,0.5,2.5,2.5,3.75,87.5
3.33,0.33,8.33,4.33,11.67,123.33
125,3.75,5,5,32.5,50
6,2,4,5,8,160
30,6,8,3.5,17.5,225
10,7.5,9,3,15,230
5,3.75,3,1.5,5,115
3.33,1.11,1.67,0.67,3.33,55.56
5,2.5,2.5,1.67,5.83,125
3.33,2.5,2.5,1.67,5,86.67
6.25,2.5,8.75,5,10,75
142.5,2,3.5,3.5,2,44
250,1.5,6,3.5,10,5
3.75,2.5,5,1.75,5,16.25
20,5,7.5,2.5,15,200
1,1,0.4,1,2,40
1.25,5,1,0.75,5,87.5
100,2.5,1.17,0.83,3.33,126.67
2.5,1.25,2.5,0.75,5,42.5
0.4,0.6,1,0.4,2,40
10,5,5,3,10,200
150,2.44,5,1.67,8.33,6.67
7.5,2.5,3.75,1.5,5,162.5
1.17,1,1.67,0.83,2.5,20
2.5,1.25,1.25,3.75,2.5,146.67
1.67,4,5,1,8.33,120
