CountryID,Country Name,Abbr,Region,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Tax Burden perc of GDP,GDP Growth Rate,Unemployment
20,Bosnia and Herzegovina,BIH,Europe,41.2,40,32.7,83.5,89.3,47.4,59.3,84,86.6,65,60,1.7,10,10,38.1,2.8,30.3
21,Botswana,BWA,Sub-Saharan Africa,58.1,54,57.6,77.1,99.4,68.8,68.6,77.9,83.8,65,70,0.6,25,22,34.4,-0.3,18.6
22,Brazil,BRA,Americas,55,49.7,33.4,70.1,22.8,61.3,52.3,67,69.4,50,50,7.8,27.5,34,32.8,-3.8,7.2
23,Bulgaria,BGR,Europe,62.5,38.9,41.8,91,86.4,66.7,68.3,83.3,87,70,60,1.5,10,10,26.5,3,9.8
24,Burkina Faso,BFA,Sub-Saharan Africa,38.2,28.4,31.7,82.6,88.4,46.4,53.3,84.6,69.2,70,40,7.9,27.5,27.5,15.2,4,2.9
25,Burma,MMR,Asia-Pacific,23,12.9,29.6,86.2,89.9,50.1,77.1,65.4,74.2,20,20,2.9,20,30,9.2,7,4.7
26,Burundi,BDI,Sub-Saharan Africa,25.7,19.8,24.6,73.8,69.6,53.5,67.4,75.2,74.2,55,30,5.4,35,35,12.9,-4.1,1.5
27,Cambodia,KHM,Asia-Pacific,42.4,22.1,12.8,90.2,95.7,29.6,62,81,80.3,60,50,4.9,20,20,13.4,6.9,0.5
28,Cameroon,CMR,Sub-Saharan Africa,43.5,29.6,17.4,75.4,60.9,44.3,47.8,80.1,53.4,35,50,15.8,35,33,12.2,5.9,4.6
29,Canada,CAN,Americas,88.3,80.8,81.6,77.4,80.3,81.9,73.1,77.8,88.4,80,80,0.8,33,15,30.8,1.2,6.9
30,Cabo Verde,CPV,Sub-Saharan Africa,42.6,50.2,41.8,78.3,1.2,65.5,43.2,86.7,68.2,75,60,10.9,35,25,18,1.8,10.8
31,Central African Republic,CAF,Sub-Saharan Africa,12.6,33,28.7,65.8,84.1,27.2,42.7,68.2,55.2,80,30,14.9,50,30,4.4,4.3,7.6
32,Chad,TCD,Sub-Saharan Africa,30.6,24.1,24.6,46,74.6,27.5,44.9,74.3,54.7,60,40,15.1,60,45,6.8,1.8,5.6
33,Chile,CHL,Americas,68.2,63.7,70.5,77.6,96.1,72.3,64.3,82.2,86.4,85,70,1.8,35,25,19.8,2.1,6.4
34,China,CHN,Asia-Pacific,48.3,60.7,41.6,70,92.5,53.9,63.4,71.8,73.6,20,20,3.2,45,25,18.7,6.9,4.6
35,Colombia,COL,Americas,63.8,25.2,39.6,80.1,89.8,77.1,77.9,77,81.6,80,70,4.2,33,25,16.7,3.1,10
36,Comoros,COM,Sub-Saharan Africa,37.3,22.6,30,64.6,98.6,58.5,50.6,81.5,70.2,45,30,7.4,30,50,11.8,1,19.6
37,"Congo, Democratic Republic of the Congo",COD,Sub-Saharan Africa,40.6,48.7,28.6,73.4,99.3,59.9,38.4,78.6,64.6,30,20,10.2,30,40,12.5,7.7,3.8
38,"Congo, Republic of",COG,Sub-Saharan Africa,34.8,22.6,30.5,66.8,11.6,32.1,37.5,76.1,52.2,50,30,16.4,45,34,11.7,2.5,7.2
39,Costa Rica,CRI,Americas,51.6,55.6,55.4,79.4,42.4,68.1,53.9,80.8,84.7,70,50,2.7,25,30,23.1,3.7,8.6
40,Côte d'Ivoire,CIV,Sub-Saharan Africa,42.6,45.8,34.3,78.4,87,62.1,50.6,73.2,72.3,75,50,6.3,36,25,15.5,8.6,9.5
41,Croatia,HRV,Europe,65.5,56.8,43.4,66.8,44.7,58.2,43.3,80.3,87.4,75,60,1.3,40,20,36.4,1.6,16.1
42,Cuba,CUB,Americas,32.4,10,41.8,51.3,81.2,20,20,66,64.5,10,10,7.7,50,30,38.3,4.3,
43,Cyprus,CYP,Europe,75.4,60.7,53.6,73,72.9,75.8,58.6,83.3,87,75,50,1.5,35,12.5,36.3,1.6,15.6
44,Czech Republic,CZE,Europe,70.3,55.9,55.9,82.9,92,67.2,77.7,85.8,87,80,80,1.5,15,19,33.5,4.2,5.2
45,Denmark,DNK,Europe,86.7,68.5,84.9,37.2,95.4,93.9,85.8,85.5,87,90,80,1.5,56,23.5,50.9,1.2,6.3
46,Djibouti,DJI,Sub-Saharan Africa,12.3,10.3,32.6,80.9,13.8,51.6,59,75.3,54.9,80,50,17.6,30,25,19.57568438,6.5,53.9
47,Dominica,DMA,Americas,43.8,67.7,40.9,73.2,72.6,72.1,59,89.5,72.6,75,30,8.7,35,30,23.6,-4.3,
48,Dominican Republic,DOM,Americas,56.1,25.3,30.9,84.6,90.1,52.8,56.2,76.7,77,75,40,6.5,25,27,13.8,7,14.4
49,Ecuador,ECU,Americas,38.7,22.3,33.9,79.1,56.4,55.4,47.3,67.7,69.7,35,40,5.2,35,22,19.6,0,4.3
50,Egypt,EGY,Middle East / North Africa,35.4,56.3,32.7,86.1,4.6,66.8,51.3,69.6,70.2,55,40,7.4,25,25,11.9,4.2,12.1
51,El Salvador,SLV,Americas,45.3,35.4,31.7,79,74.7,57.3,54.5,79.2,86.5,80,60,1.8,30,30,17.3,2.4,6.4
52,Equatorial Guinea,GNQ,Sub-Saharan Africa,35.4,13.1,24.6,75.4,46.4,50.9,38.5,78.3,53.8,40,30,15.6,35,35,2.8,-12.2,9.4
53,Eritrea,ERI,Sub-Saharan Africa,36.4,10.3,27.5,81.3,0,56.7,69.7,61,69.2,0,20,5.4,30,30,8.4,4.8,8.4
